total_bill,tip,sex,smoker,day,time,size,price_per_person,CC Number
40.17,4.73,Male,Yes,Fri,Dinner,4,10.04,180026611638690
27.28,4.0,Male,Yes,Fri,Dinner,2,13.64,4563054452787961
12.03,1.5,Male,Yes,Fri,Dinner,2,6.02,580116092652
21.01,3.0,Male,Yes,Fri,Dinner,2,10.5,4831801127457917
12.46,1.5,Male,No,Fri,Dinner,2,6.23,347435564751626
11.35,2.5,Female,Yes,Fri,Dinner,2,5.68,38558279384492
15.38,3.0,Female,Yes,Fri,Dinner,2,7.69,6011012799432041
44.3,2.5,Female,Yes,Sat,Dinner,3,14.77,379771118886604
22.42,3.48,Female,Yes,Sat,Dinner,2,11.21,348009865484721
20.92,4.08,Female,No,Sat,Dinner,2,10.46,4013010878990106
15.36,1.64,Male,Yes,Sat,Dinner,2,7.68,4029957452720
20.49,4.06,Male,Yes,Sat,Dinner,2,10.24,180024452771522
25.21,4.29,Male,Yes,Sat,Dinner,2,12.6,4738781782868
18.24,3.76,Male,No,Sat,Dinner,2,9.12,4112810433473856
14.31,4.0,Female,Yes,Sat,Dinner,2,7.16,375638820334211
14.0,3.0,Male,No,Sat,Dinner,2,7.0,345243048851323
7.25,1.0,Female,No,Sat,Dinner,1,7.25,3559221007826887
38.07,4.0,Male,No,Sun,Dinner,3,12.69,3572865915176463
23.95,2.55,Male,No,Sun,Dinner,2,11.98,6565964211060570
25.71,4.0,Female,No,Sun,Dinner,3,8.57,5400160161311292
17.31,3.5,Female,No,Sun,Dinner,2,8.65,379494319310858
29.93,5.07,Male,No,Sun,Dinner,4,7.48,4689079711213722
10.65,1.5,Female,No,Thur,Lunch,2,5.32,3560509622598239
12.43,1.8,Female,No,Thur,Lunch,2,6.22,502047186908
24.08,2.92,Female,No,Thur,Lunch,4,6.02,676212062720
11.69,2.31,Male,No,Thur,Lunch,2,5.84,4891259691010
13.42,1.68,Female,No,Thur,Lunch,2,6.71,5181484390945653
14.26,2.5,Male,No,Thur,Lunch,2,7.13,180034646320219
15.95,2.0,Male,No,Thur,Lunch,2,7.98,4820629318698319
12.48,2.52,Female,No,Thur,Lunch,2,6.24,4472778228206399
29.8,4.2,Female,No,Thur,Lunch,6,4.97,503857080488
8.52,1.48,Male,No,Thur,Lunch,2,4.26,4524404353861811
14.52,2.0,Female,No,Thur,Lunch,2,7.26,213102478792200
11.38,2.0,Female,No,Thur,Lunch,2,5.69,3548391118913991
22.82,2.18,Male,No,Thur,Lunch,3,7.61,4855776744024
19.08,1.5,Male,No,Thur,Lunch,2,9.54,213113680829581
20.27,2.83,Female,No,Thur,Lunch,2,10.14,5394652998970066
11.17,1.5,Female,No,Thur,Lunch,2,5.58,6011990685390011
12.26,2.0,Female,No,Thur,Lunch,2,6.13,676348318145
18.26,3.25,Female,No,Thur,Lunch,2,9.13,4952604748911
8.51,1.25,Female,No,Thur,Lunch,2,4.26,4320272020376174
10.33,2.0,Female,No,Thur,Lunch,2,5.16,180048553626376
14.15,2.0,Female,No,Thur,Lunch,2,7.08,213189344156819
16.0,2.0,Male,Yes,Thur,Lunch,2,8.0,3561461821942363
13.16,2.75,Female,No,Thur,Lunch,2,6.58,676239597203
17.47,3.5,Female,No,Thur,Lunch,2,8.74,5233918213804470
34.3,6.7,Male,No,Thur,Lunch,6,5.72,3526515703718508
41.19,5.0,Male,No,Thur,Lunch,5,8.24,4356531761046453
27.05,5.0,Female,No,Thur,Lunch,6,4.51,4311048695487
16.43,2.3,Female,No,Thur,Lunch,2,8.22,6542729219645658
8.35,1.5,Female,No,Thur,Lunch,2,4.18,4285454264477
18.64,1.36,Female,No,Thur,Lunch,3,6.21,60463302327
11.87,1.63,Female,No,Thur,Lunch,2,5.94,675937746864
9.78,1.73,Male,No,Thur,Lunch,2,4.89,3578014604116399
7.51,2.0,Male,No,Thur,Lunch,2,3.76,4823139288341889
14.07,2.5,Male,No,Sun,Dinner,2,7.04,4813617017359506
13.13,2.0,Male,No,Sun,Dinner,2,6.56,3571825125296106
17.26,2.74,Male,No,Sun,Dinner,3,5.75,4292362333741
24.55,2.0,Male,No,Sun,Dinner,4,6.14,4416804908942159
19.77,2.0,Male,No,Sun,Dinner,4,4.94,213169731428229
29.85,5.14,Female,No,Sun,Dinner,5,5.97,4210875236164664
48.17,5.0,Male,No,Sun,Dinner,6,8.03,3523151482063321
25.0,3.75,Female,No,Sun,Dinner,4,6.25,213158685144262
13.39,2.61,Female,No,Sun,Dinner,2,6.7,3571088058115021
16.49,2.0,Male,No,Sun,Dinner,4,4.12,30501814271434
21.5,3.5,Male,No,Sun,Dinner,4,5.38,3527668419764685
12.66,2.5,Male,No,Sun,Dinner,2,6.33,4406882156920533
16.21,2.0,Female,No,Sun,Dinner,3,5.4,4227834176859693
13.81,2.0,Male,No,Sun,Dinner,2,6.9,5552793481414044
17.51,3.0,Female,Yes,Sun,Dinner,2,8.76,3500853929693258
24.52,3.48,Male,No,Sun,Dinner,3,8.17,4031116007387
20.76,2.24,Male,No,Sun,Dinner,2,10.38,4110599849536479
31.71,4.5,Male,No,Sun,Dinner,4,7.93,3566285921227119
10.59,1.61,Female,Yes,Sat,Dinner,2,5.3,502053147208
10.63,2.0,Female,Yes,Sat,Dinner,2,5.32,3536332481454019
50.81,10.0,Male,Yes,Sat,Dinner,3,16.94,5473850968388236
15.81,3.16,Male,Yes,Sat,Dinner,2,7.9,502004138207
7.25,5.15,Male,Yes,Sun,Dinner,2,3.62,30432617123103
31.85,3.18,Male,Yes,Sun,Dinner,2,15.92,3577115550328507
16.82,4.0,Male,Yes,Sun,Dinner,2,8.41,3586342145399277
32.9,3.11,Male,Yes,Sun,Dinner,2,16.45,370307040837149
17.89,2.0,Male,Yes,Sun,Dinner,2,8.94,6011481578696110
14.48,2.0,Male,Yes,Sun,Dinner,2,7.24,4565183162071073
9.6,4.0,Female,Yes,Sun,Dinner,2,4.8,4211808859168
34.63,3.55,Male,Yes,Sun,Dinner,2,17.32,346656312114848
34.65,3.68,Male,Yes,Sun,Dinner,4,8.66,676168737648
23.33,5.65,Male,Yes,Sun,Dinner,2,11.66,6556931703586223
45.35,3.5,Male,Yes,Sun,Dinner,3,15.12,4112207559459910
23.17,6.5,Male,Yes,Sun,Dinner,4,5.79,4718501859162
40.55,3.0,Male,Yes,Sun,Dinner,2,20.27,3547798222044029
20.69,5.0,Male,No,Sun,Dinner,5,4.14,30362407455623
20.9,3.5,Female,Yes,Sun,Dinner,3,6.97,4422858423131187
30.46,2.0,Male,Yes,Sun,Dinner,5,6.09,4792882899700988
18.15,3.5,Female,Yes,Sun,Dinner,3,6.05,578329325307
23.1,4.0,Male,Yes,Sun,Dinner,3,7.7,3560193117506187
15.69,1.5,Male,Yes,Sun,Dinner,2,7.84,180053549128800
19.81,4.19,Female,Yes,Thur,Lunch,2,9.9,4317015327600068
28.44,2.56,Male,Yes,Thur,Lunch,2,14.22,4737538358295
15.48,2.02,Male,Yes,Thur,Lunch,2,7.74,180068856139315
16.58,4.0,Male,Yes,Thur,Lunch,2,8.29,676210011505
7.56,1.44,Male,No,Thur,Lunch,2,3.78,4865390263095532
10.34,2.0,Male,Yes,Thur,Lunch,2,5.17,30442491190342
43.11,5.0,Female,Yes,Thur,Lunch,4,10.78,5544902205760175
13.0,2.0,Female,Yes,Thur,Lunch,2,6.5,4926725945192
13.51,2.0,Male,Yes,Thur,Lunch,2,6.76,6547218923471275
18.71,4.0,Male,Yes,Thur,Lunch,3,6.24,4581233003487
12.74,2.01,Female,Yes,Thur,Lunch,2,6.37,3586645396220590
13.0,2.0,Female,Yes,Thur,Lunch,2,6.5,180088043008041
16.4,2.5,Female,Yes,Thur,Lunch,2,8.2,3582289985920239
20.53,4.0,Male,Yes,Thur,Lunch,4,5.13,3570611756827620
16.47,3.23,Female,Yes,Thur,Lunch,3,5.49,4787787236486
26.59,3.41,Male,Yes,Sat,Dinner,3,8.86,38971087967574
38.73,3.0,Male,Yes,Sat,Dinner,4,9.68,347817964484033
24.27,2.03,Male,Yes,Sat,Dinner,2,12.14,4268942915626180
12.76,2.23,Female,Yes,Sat,Dinner,2,6.38,341876516331163
30.06,2.0,Male,Yes,Sat,Dinner,3,10.02,30184049218122
25.89,5.16,Male,Yes,Sat,Dinner,4,6.47,6011962464150569
48.33,9.0,Male,No,Sat,Dinner,4,12.08,676218815212
13.27,2.5,Female,Yes,Sat,Dinner,2,6.64,580140531089
28.17,6.5,Female,Yes,Sat,Dinner,3,9.39,4922302538691962
12.9,1.1,Female,Yes,Sat,Dinner,2,6.45,4726904879471
28.15,3.0,Male,Yes,Sat,Dinner,5,5.63,4590982568244
11.59,1.5,Male,Yes,Sat,Dinner,2,5.8,30324521283406
7.74,1.44,Male,Yes,Sat,Dinner,2,3.87,340517153733524
30.14,3.09,Female,Yes,Sat,Dinner,4,7.54,502097403252
12.16,2.2,Male,Yes,Fri,Lunch,2,6.08,213109508670736
13.42,3.48,Female,Yes,Fri,Lunch,2,6.71,379437981958785
8.58,1.92,Male,Yes,Fri,Lunch,1,8.58,3505302934650403
15.98,3.0,Female,No,Fri,Lunch,3,5.33,5343428579353069
13.42,1.58,Male,Yes,Fri,Lunch,2,6.71,341503466406403
16.27,2.5,Female,Yes,Fri,Lunch,2,8.14,3579111947217428
10.09,2.0,Female,Yes,Fri,Lunch,2,5.04,5268689490381635
20.45,3.0,Male,No,Sat,Dinner,4,5.11,213141668145910
13.28,2.72,Male,No,Sat,Dinner,2,6.64,502061651712
22.12,2.88,Female,Yes,Sat,Dinner,2,11.06,4793003293608
24.01,2.0,Male,Yes,Sat,Dinner,4,6.0,4258682154026
15.69,3.0,Male,Yes,Sat,Dinner,3,5.23,4812333796161
11.61,3.39,Male,No,Sat,Dinner,2,5.8,6011482917327995
10.77,1.47,Male,No,Sat,Dinner,2,5.38,6011698897610858
15.53,3.0,Male,Yes,Sat,Dinner,2,7.76,4097938155941930
10.07,1.25,Male,No,Sat,Dinner,2,5.04,3534021246117605
12.6,1.0,Male,Yes,Sat,Dinner,2,6.3,3543676378973965
32.83,1.17,Male,Yes,Sat,Dinner,2,16.42,4284722681265508
35.83,4.67,Female,No,Sat,Dinner,3,11.94,676184013727
29.03,5.92,Male,No,Sat,Dinner,3,9.68,5296068606052842
27.18,2.0,Female,Yes,Sat,Dinner,2,13.59,3506806155565404
22.67,2.0,Male,Yes,Sat,Dinner,2,11.34,6011891618747196
17.82,1.75,Male,No,Sat,Dinner,2,8.91,4375220550950
18.78,3.0,Female,No,Thur,Dinner,2,9.39,3511451626698139
